Source,H,O
shallow,-130.2,-13.41
mid 1,-142.6,-17.04
mid 1,-150.3,-18.37
mid 1,-152.0,-18.73
mid 2,-151.7,-18.68
mid 2,-151.4,-18.63
mid 2,-140.1,-16.92
deep,-137.3,-16.58
deep,-134.6,-16.24
