Source,H,O
shallow,-126.6,-11.90
mid 1,-145.5,-16.37
mid 1,-153.7,-18.65
mid 1,-155.3,-19.15
mid 2,-152.8,-18.79
mid 2,-150.4,-18.43
mid 2,-139.9,-16.96
deep,-136.5,-16.62
deep,-133.1,-16.27
