Source,H,O
shallow,-128.1,-12.01
mid 1,-139.5,-16.45
mid 1,-157.9,-18.92
mid 1,-153.8,-18.81
mid 2,-150.3,-18.48
mid 2,-146.8,-18.14
mid 2,-142.1,-17.23
deep,-137.0,-16.76
deep,-131.9,-16.29
